,merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
231,15171549,26,21,55.3,342.5,45,0,active,,approved,0,0,0,0,,,cpf
232,10644529,3,1,75.0,811.8,4,2,active,mpos: Play Integrity attestation indicates account tampering,approved,0,0,8,0,,,cpf
234,16232651,303,2,99.3,13074.87,40,4,blocked,monitoring,blocked,0,0,324,324,LTDA,21.0,cnpj
236,17756538,13,2,86.7,5372.89,16,10,active,,approved,0,0,0,0,,,cpf
238,15528977,20,0,100.0,6979.0,9,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
239,13021065,8,3,72.7,2622.0,11,4,active,,approved,0,0,0,0,MEI,66.0,cnpj
240,12857914,144,65,68.9,11450.1,199,33,active,,approved,0,0,0,0,MEI,13.0,cnpj
242,12730618,3,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
245,4451730,32,6,84.2,1724.0,36,6,active,,approved,0,0,0,0,,,cpf
250,3452211,5,2,71.4,1185.0,10,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
251,20829261,18,1,94.7,3463.5,18,10,active,,approved,0,0,0,0,,,cpf
252,13784380,6,4,60.0,4997.23,5,2,blocked,monitoring,blocked,0,0,0,24,,,cpf
253,16228598,29,4,87.9,4002.0,8,2,blocked,monitoring,blocked,0,0,20,0,,,cpf
254,12686384,12,0,100.0,3545.0,5,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
255,16152677,4,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
257,14932877,5,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
259,14495258,27,24,52.9,11728.4,46,8,blocked,monitoring,blocked,0,0,0,160,,,cpf
260,13635122,5,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
261,15350179,5,3,62.5,6948.92,6,5,blocked,monitoring,blocked,0,0,0,0,,,cpf
265,14090985,18,2,90.0,382.66,9,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
269,16812405,4,2,66.7,4450.0,8,1,blocked,monitoring,blocked,0,0,0,24,,,cpf
270,13334564,23,1,95.8,3578.0,18,6,blocked,monitoring,blocked,0,0,0,0,,,cpf
272,16848663,8,1,88.9,3176.03,5,1,active,,approved,0,0,0,0,,,cpf
276,11580403,9,3,75.0,4667.0,11,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
278,7916587,15,0,100.0,9268.0,15,2,blocked,monitoring,blocked,0,0,0,0,,,cnpj
280,12886115,6,3,66.7,4004.0,4,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
281,16838889,246,1,99.6,13911.95,41,5,active,,approved,0,0,108,108,LTDA,146.0,cnpj
287,10012532,8,2,80.0,117.2,4,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
288,15443044,32,11,74.4,7893.4,35,10,blocked,monitoring,blocked,0,0,300,300,,,cpf
289,11245244,21,5,80.8,8774.23,13,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
290,20606076,6,0,100.0,12.53,2,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
291,14788139,10,7,58.8,231.02,10,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
292,15576819,32,3,91.4,14913.94,26,14,active,,approved,0,0,0,0,,,cpf
293,5890040,5,3,62.5,165.0,7,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
295,11959510,4,3,57.1,1429.43,5,3,blocked,monitoring,blocked,0,0,0,12,,,cpf
297,11038365,23,19,54.8,9612.6,33,28,blocked,monitoring,blocked,0,0,0,6,,,cpf
298,18663170,6,3,66.7,2.07,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
299,13313079,7,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
304,14422164,32,19,62.7,9093.0,41,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
305,20875631,38,3,92.7,1543.39,15,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
306,12975931,3,0,100.0,212.89,3,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
308,4884483,40,12,76.9,1289.69,37,5,active,,approved,0,0,0,0,,,cpf
311,19916643,4,1,80.0,110.0,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
312,11934528,11,3,78.6,2361.49,9,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
313,21080058,7,5,58.3,2631.0,7,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
316,18974786,6,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
318,16143431,41,2,95.3,381.46,11,2,blocked,monitoring,blocked,0,0,0,16,LUCRO PRESUMIDO,107.0,cnpj
322,19905513,4,0,100.0,1100.0,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
323,13151123,2,0,100.0,7197.4400000000005,11,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
324,17776469,4,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
325,13836448,9,2,81.8,2942.0,6,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
326,20297265,6,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
329,16637066,48,0,100.0,8237.49,36,18,blocked,monitoring,blocked,0,0,0,0,,,cpf
333,9599534,11,4,73.3,6873.11,12,9,active,,approved,0,0,0,0,,,cpf
334,21507821,10,1,90.9,942.65,18,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
335,11392064,26,8,76.5,5483.72,29,12,active,,approved,0,0,0,0,,,cpf
337,19192269,7,1,87.5,0.0,0,0,active,,approved,0,0,0,0,,,cpf
338,14161851,16,0,100.0,162.28,3,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
341,14622657,17,5,77.3,9329.27,17,8,active,,approved,0,0,0,0,,,cpf
345,11486109,10,4,71.4,6867.08,11,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
346,11395072,27,4,87.1,11794.0,25,8,active,,approved,0,0,0,0,MEI,44.0,cnpj
347,1254262,20,2,90.9,5678.53,15,11,active,,approved,0,0,0,0,,,cpf
355,19254670,4,0,100.0,25.0,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
357,19071601,14,10,58.3,2908.73,21,9,active,,approved,0,0,0,0,,,cpf
358,15054088,23,0,100.0,1397.0,16,2,active,,approved,0,0,0,0,,,cpf
363,11650121,7,1,87.5,9465.0,7,5,blocked,monitoring,blocked,0,0,0,0,,,cpf
364,13591139,3,1,75.0,3.1,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
365,12312314,15,9,62.5,1190.0,25,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
366,5142698,5,0,100.0,1450.0,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
367,14488015,8,0,100.0,361.38,2,1,active,,approved,0,0,0,0,,,cpf
376,5854342,7,1,87.5,8862.58,14,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
380,20879638,6,1,85.7,1683.64,7,3,active,,approved,0,0,0,0,,,cpf
382,14957269,6,3,66.7,6359.29,14,4,blocked,monitoring,blocked,0,0,6,0,,,cpf
383,7909762,5,3,62.5,742.0,7,2,active,,approved,0,0,0,0,,,cpf
384,16880462,24,10,70.6,4031.67,23,9,blocked,monitoring,blocked,0,0,0,0,,,cpf
387,10692069,58,34,63.0,31426.0,78,42,active,,approved,0,0,0,0,MEI,37.0,cnpj
390,13614170,3,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
391,11903928,15,1,93.8,10031.28,15,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
394,19817859,22,7,75.9,1680.03,32,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
397,20571379,19,4,82.6,17488.84,10,6,active,,approved,0,0,0,0,SIMPLES,7.0,cnpj
398,14010359,4,2,66.7,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
399,9780870,21,1,95.5,12368.88,16,11,active,,approved,0,0,0,0,,,cpf
403,12782925,11,10,52.4,988.98,4,1,blocked,monitoring,blocked,0,0,0,6,,,cpf
405,10061291,4,2,66.7,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
