merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
7740395,5,12,29.4,8203.33,23,12,active,,approved,0,0,0,0,,,cpf
12618,446,2400,15.7,1094160.91,3632,797,blocked,monitoring,blocked,0,0,0,572,LTDA,142,cnpj
8051742,33,37,47.1,5242.0999999999995,67,16,active,,approved,0,0,0,0,,,cpf
11580403,9,3,75,4667,11,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
13603432,26,64,28.9,1265,97,0,active,,approved,0,0,0,0,,,cpf
7916587,15,0,100,9268,15,2,blocked,monitoring,blocked,0,0,0,0,,,cnpj
10646868,30,182,14.2,12691.27,241,56,active,,approved,0,0,0,0,MEI,19,cnpj
12886115,6,3,66.7,4004,4,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
16838889,246,1,99.6,13911.95,41,5,active,,approved,0,0,108,108,LTDA,146,cnpj
7238069,753,428,63.8,1313325.66,1086,258,active,,approved,0,0,68,0,,,cnpj
11871225,22,28,44,4784.88,45,15,blocked,monitoring,blocked,0,0,0,0,,,cpf
9959094,13,126,9.4,5494,139,5,active,,approved,0,0,0,0,MEI,117,cnpj
12376430,31,278,10,14129.79,347,11,active,,approved,0,0,0,0,,,cpf
7410032,117,246,32.2,7007.46,342,9,active,,approved,0,0,0,0,,,cpf
10012532,8,2,80,117.2,4,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
15443044,32,11,74.4,7893.4000000000005,35,10,blocked,monitoring,blocked,0,0,300,300,,,cpf
11245244,21,5,80.8,8774.23,13,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
20606076,6,0,100,12.53,2,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
14788139,10,7,58.8,231.02,10,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
15576819,32,3,91.4,14913.94,26,14,active,,approved,0,0,0,0,,,cpf
5890040,5,3,62.5,165,7,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
13024723,11,72,13.3,30993.47,82,43,active,,approved,0,0,0,0,MEI,150,cnpj
11959510,4,3,57.1,1429.43,5,3,blocked,monitoring,blocked,0,0,0,12,,,cpf
12520754,9,24,27.3,8998.23,21,13,active,,approved,0,0,0,0,,,cpf
11038365,23,19,54.8,9612.6,33,28,blocked,monitoring,blocked,0,0,0,6,,,cpf
18663170,6,3,66.7,2.07,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
13313079,7,0,100,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
16757471,9,18,33.3,585.03,21,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
272009,59,345,14.6,424776.09,388,145,active,,approved,0,0,0,0,MEI,123,cnpj
11015185,13,26,33.3,11944.43,21,12,blocked,monitoring,blocked,0,0,0,0,,,cpf
14636339,65,41,61.3,36483.68,102,56,active,,approved,0,0,0,0,,,cpf
14422164,32,19,62.7,9093,41,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
20875631,38,3,92.7,1543.39,15,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
12975931,3,0,100,212.89,3,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
696989,7,82,7.9,159804.47,332,135,blocked,monitoring,blocked,0,0,0,0,MEI,88,cnpj
4884483,40,12,76.9,1289.69,37,5,active,,approved,0,0,0,0,,,cpf
8108419,900,2408,27.2,78491.99,4042,60,active,,approved,0,0,0,0,MEI,57,cnpj
22673,70,1177,5.6,492680.76,1458,188,active,,approved,0,0,0,0,LUCRO PRESUMIDO,55,cnpj
19916643,4,1,80,110,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
