user_id,status,status_reason,status_1,active_days_since_aquisition_from_merchant,approved_transactions_count_from_merchant,approved_amount_sum_from_merchant,cbk_tpv_ratio,total_billing_amount,total_chargebacks,paid_ratio,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff
18103654,blocked,monitoring,blocked,12,20,3040.44,,,,,0,0,0,0,,
13532274,active,,approved,1,16,1118.0,,,,,0,0,0,0,,
13059691,blocked,monitoring,blocked,9,14,10570.7,,,,,0,0,0,0,,
20297265,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
18413190,active,,approved,13,40,7176.59,,,,,0,0,0,0,,
8949519,blocked,monitoring,blocked,29,68,13868.44,,,,,0,0,0,0,,
15250883,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
10258050,active,monitoring,approved,75,208,32559.0,,,,,0,0,0,0,,
12227678,active,,approved,5,134,3489.19,,,,,0,0,0,0,,
5898146,active,,approved,1,3,203.04,,,,,0,0,0,0,,
11959510,blocked,monitoring,blocked,3,5,1429.43,,,,,0,0,0,12,,
2631447,active,,approved,112,748,33978.24,,,,,0,0,0,0,,
16459385,active,,approved,7,19,5124.53,,,,,0,0,0,0,,
7919377,active,,approved,25,46,28813.56,,,,,0,0,0,0,,
11954265,active,,approved,0,3,56.0,,,,,0,0,0,0,,
20970223,active,,approved,13,74,3195.55,,,,,0,0,0,0,,
7259863,blocked,monitoring,blocked,8,14,5754.5,,,,,0,0,0,0,,
13784380,blocked,monitoring,blocked,2,5,4997.23,,,,,0,0,0,24,,
11392064,active,,approved,12,29,5483.72,,,,,0,0,0,0,,
7740395,active,,approved,11,22,8149.63,,,,,0,0,0,0,,
12836820,active,,approved,3,101,1895.57,,,,,0,0,0,0,,
16972606,active,,approved,1,44,1091.75,,,,,0,0,0,0,,
18732753,blocked,monitoring,blocked,11,24,5796.74,,,,,0,0,0,0,,
9533469,active,,approved,46,75,19050.42,,,,,0,0,0,0,,
9442565,active,,approved,6,16,4190.51,,,,,0,0,0,0,,
20378265,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
10353977,active,,approved,9,60,10201.99,,,,,0,0,0,0,,
13182057,active,,approved,5,59,3443.7,,,,,0,0,0,0,,
13608983,blocked,monitoring,blocked,1,3,600.0,,,,,0,0,9,0,,
12314766,active,,approved,52,89,10962.7,,,,,0,0,0,0,,
13632442,active,,approved,6,55,2862.77,,,,,0,0,0,0,,
13700365,active,,approved,0,38,427.06,,,,,0,0,0,0,,
19916643,blocked,monitoring,blocked,1,2,110.0,,,,,0,0,0,0,,
12715244,blocked,monitoring,blocked,0,1,1.0,,,,,0,0,0,0,,
14495258,blocked,monitoring,blocked,8,46,11728.4,,,,,0,0,0,160,,
11120751,active,,approved,16,171,5272.91,,,,,0,0,0,0,,
12312314,blocked,monitoring,blocked,4,25,1190.0,,,,,0,0,0,0,,
13321988,blocked,monitoring,blocked,2,20,654.0,,,,,0,0,0,0,,
14746812,active,,approved,5,90,6360.5199999999995,,,,,0,0,0,0,,
11931467,blocked,purchase_regret,inactive,0,42,940.0,,,,,0,0,0,0,,
20606076,blocked,monitoring,blocked,0,2,12.53,,,,,0,0,0,0,,
11091443,blocked,monitoring,blocked,2,4,1940.0,,,,,0,0,0,0,,
15576819,active,,approved,14,26,14913.94,,,,,0,0,0,0,,
11504870,active,,approved,53,99,51519.0,,,,,0,0,0,0,,
19450091,blocked,monitoring,blocked,9,20,10137.92,,,,,0,0,0,0,,
14376537,active,,approved,43,92,9445.7899999999991,,,,,0,0,0,0,,
21507821,blocked,monitoring,blocked,2,18,942.65,,,,,0,0,0,0,,
12994443,active,,approved,18,398,10831.31,0.0022702701704595289,24.59,1,1.0,0,0,0,0,,
9599534,active,,approved,9,12,6873.11,,,,,0,0,0,0,,
19191323,active,,approved,6,9,5441.0,,,,,0,0,0,0,,
8191293,blocked,monitoring,blocked,3,4,2875.97,,,,,0,0,0,0,,
3452211,blocked,monitoring,blocked,2,10,1185.0,,,,,0,0,0,0,,
14211198,active,,approved,4,5,4492.0,,,,,0,0,0,0,,
7252884,active,,approved,58,132,44330.57,,,,,0,0,0,0,,
5711652,active,,approved,49,174,14129.6,,,,,0,0,0,0,,
16880462,blocked,monitoring,blocked,9,23,4031.67,,,,,0,0,0,0,,
16259811,blocked,monitoring,blocked,1,4,213.99,,,,,0,0,0,6,,
17477914,active,,approved,12,442,8968.27,,,,,0,0,0,0,,
1873936,active,,approved,10,18,11640.45,,,,,0,0,0,0,,
4104895,blocked,monitoring,blocked,12,14,13003.15,,,,,0,0,0,0,,
3504163,active,,approved,16,40,7374.08,,,,,0,0,0,0,,
19254670,blocked,monitoring,blocked,0,1,25.0,,,,,0,0,0,0,,
12463046,active,,approved,3,74,1542.0,,,,,0,0,0,0,,
7466626,active,,approved,64,143,14553.19,,,,,0,0,0,0,,
16095778,active,,approved,8,10,1782.58,,,,,0,0,0,0,,
14636339,active,,approved,54,97,34993.19,,,,,0,0,0,0,,
16972541,blocked,monitoring,blocked,2,4,4579.07,,,,,0,0,0,0,,
4950538,active,,approved,49,206,12684.88,,,,,0,0,0,0,,
12293900,blocked,monitoring,blocked,5,5,4171.42,,,,,0,0,0,0,,
18459103,blocked,monitoring,blocked,0,1,1.06,,,,,0,0,0,0,,
20827408,blocked,monitoring,blocked,1,3,115.66000000000001,,,,,0,0,0,0,,
13910536,blocked,monitoring,blocked,2,6,2362.57,,,,,0,0,0,0,,
2206995,active,,approved,7,203,5569.57,,,,,0,0,0,0,,
13901243,blocked,monitoring,blocked,1,3,230.48,,,,,0,0,0,0,,
4983789,blocked,monitoring,blocked,1,7,614.13,,,,,0,0,12,0,,
5183549,active,,approved,33,41,38941.2,,,,,0,0,0,0,,
16812405,blocked,monitoring,blocked,1,8,4450.0,,,,,0,0,0,24,,
