user_id,status,status_reason,status_1,active_days_since_aquisition_from_merchant,approved_transactions_count_from_merchant,approved_amount_sum_from_merchant,cbk_tpv_ratio,total_billing_amount,total_chargebacks,paid_ratio,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff
12618,blocked,monitoring,blocked,797,3632,1094160.91,0.00041458253155836106,453.62,1,1.0,0,0,0,572,LTDA,142.0
11821451,active,,approved,6,197,3086.1,,,,,0,0,0,0,MEI,9.0
9796911,active,,approved,36,885,23168.2,,,,,0,0,0,0,SIMPLES,15.0
12377559,active,,approved,19,1346,30100.56,,,,,0,0,0,0,MEI,28.0
10094256,active,,approved,12,67,3422.52,,,,,0,0,0,0,MEI,32.0
10695722,active,,approved,8,93,8021.01,,,,,0,0,0,0,MEI,7.0
7238069,active,,approved,252,1053,1276640.66,0.00045289173227492231,578.18000000000006,1,1.0,0,0,68,0,,
11395072,active,,approved,8,25,11794.0,,,,,0,0,0,0,MEI,44.0
2523337,active,,approved,104,3134,140816.73,,,,,0,0,0,0,MEI,107.0
10646868,active,,approved,56,241,12691.27,,,,,0,0,0,0,MEI,19.0
1400876,active,,approved,217,1070,253394.3,,,,,0,0,0,0,MEI,127.0
12418095,active,,approved,156,605,102186.23,,,,,0,0,0,0,SIMPLES,56.0
2237845,active,,approved,71,99,122378.72,,,,,0,0,0,0,SIMPLES,21.0
8004049,active,,approved,91,311,34356.0,,,,,0,0,0,0,MEI,23.0
5151628,active,,approved,76,8816,138898.64,,,,,0,0,0,0,MEI,13.0
